Mixer name: 'apq8064-tabla-snd-card'
Number of controls: 511
ctl	type	num	name                                     value
0	BOOL	1	Voice Rx Device Mute                     Off
1	BOOL	1	Voice Tx Mute                            Off
2	INT	1	Voice Rx Volume                          0
3	ENUM	1	TTY Mode                                 OFF
4	BOOL	1	Widevoice Enable                         Off
5	BOOL	1	Slowtalk Enable                          Off
6	BOOL	1	Loopback Enable                          Off
7	BOOL	1	FENS Enable                              Off
8	BOOL	1	VoLTE Rx Device Mute                     Off
9	BOOL	1	VoLTE Tx Mute                            Off
10	INT	1	VoLTE Rx Volume                          0
11	BOOL	1	Voice2 Rx Device Mute                    Off
12	BOOL	1	Voice2 Tx Mute                           Off
13	INT	1	Voice2 Rx Volume                         0
14	BOOL	1	Voip Tx Mute                             Off
15	INT	1	Voip Rx Volume                           0
16	INT	2	Voip Mode Rate Config                    12 0
17	BOOL	1	Voip Dtx Mode                            Off
18	BOOL	1	FENS_VOIP Enable                         Off
19	BOOL	1	ES325 RX1 Enable                         Off
20	BOOL	1	ES325 TX1 Enable                         Off
21	BOOL	1	ES325 RX2 Enable                         Off
22	ENUM	1	Mic Config                              
23	ENUM	1	AEC Mode                                
24	BOOL	1	VEQ Enable                               On
25	BOOL	1	BWE Enable                               On
26	INT	1	ES325 Tx NS                              65535
27	ENUM	1	Dereverb Enable                         
28	INT	1	Dereverb Gain                            7
29	INT	1	BWE High Band Gain                       5
30	INT	1	BWE Max SNR                              15
31	ENUM	1	BWE Post EQ Enable                      
32	INT	1	SLIMbus Link Multi Channel               -5
33	ENUM	1	Set Power State                          Sleep
34	ENUM	1	Algorithm Processing                    
35	ENUM	1	Algorithm Sample Rate                   
36	ENUM	1	Algorithm                               
37	ENUM	1	Mix Sample Rate                         
38	INT	1	Internal Route Config                    26
39	ENUM	1	ES325-AP Tx Channels                    
40	BOOL	1	ES325 Network Type                       Off
41	INT	1	CS out gain                              15
42	BOOL	1	ES325 2Mic Enable                        Off
43	BOOL	1	MICBIAS4 CAPLESS Switch                  Off
44	ENUM	1	EAR PA Gain                              POS_6_DB
45	INT	1	LINEOUT1 Volume                          12
46	INT	1	LINEOUT2 Volume                          8
47	INT	1	LINEOUT3 Volume                          12
48	INT	1	LINEOUT4 Volume                          8
49	INT	1	LINEOUT5 Volume                          12
50	INT	1	HPHL Volume                              14
51	INT	1	HPHR Volume                              14
52	INT	1	RX1 Digital Volume                       92
53	INT	1	RX2 Digital Volume                       92
54	INT	1	RX3 Digital Volume                       84
55	INT	1	RX4 Digital Volume                       82
56	INT	1	RX5 Digital Volume                       89
57	INT	1	RX6 Digital Volume                       91
58	INT	1	RX7 Digital Volume                       81
59	INT	1	DEC1 Volume                              81
60	INT	1	DEC2 Volume                              84
61	INT	1	DEC3 Volume                              84
62	INT	1	DEC4 Volume                              83
63	INT	1	DEC5 Volume                              84
64	INT	1	DEC6 Volume                              89
65	INT	1	DEC7 Volume                              89
66	INT	1	DEC8 Volume                              84
67	INT	1	DEC9 Volume                              84
68	INT	1	DEC10 Volume                             84
69	INT	1	IIR1 INP1 Volume                         84
70	INT	1	IIR1 INP2 Volume                         84
71	INT	1	IIR1 INP3 Volume                         84
72	INT	1	IIR1 INP4 Volume                         84
73	INT	1	ADC1 Volume                              0
74	INT	1	ADC2 Volume                              0
75	INT	1	ADC3 Volume                              0
76	INT	1	ADC4 Volume                              0
77	INT	1	ADC5 Volume                              0
78	INT	1	ADC6 Volume                              0
79	INT	1	AUX_PGA_LEFT Volume                      31
80	INT	1	AUX_PGA_RIGHT Volume                     31
81	BOOL	1	MICBIAS1 CAPLESS Switch                  Off
82	BOOL	1	MICBIAS2 CAPLESS Switch                  Off
83	BOOL	1	MICBIAS3 CAPLESS Switch                  Off
84	INT	1	ANC Slot                                 0
85	ENUM	1	ANC Function                             OFF
86	ENUM	1	TX1 HPF cut off                          MIN_3DB_4Hz
87	ENUM	1	TX2 HPF cut off                          MIN_3DB_4Hz
88	ENUM	1	TX3 HPF cut off                          MIN_3DB_4Hz
89	ENUM	1	TX4 HPF cut off                          MIN_3DB_4Hz
90	ENUM	1	TX5 HPF cut off                          MIN_3DB_4Hz
91	ENUM	1	TX6 HPF cut off                          MIN_3DB_4Hz
92	ENUM	1	TX7 HPF cut off                          MIN_3DB_4Hz
93	ENUM	1	TX8 HPF cut off                          MIN_3DB_4Hz
94	ENUM	1	TX9 HPF cut off                          MIN_3DB_4Hz
95	ENUM	1	TX10 HPF cut off                         MIN_3DB_4Hz
96	BOOL	1	TX1 HPF Switch                           Off
97	BOOL	1	TX2 HPF Switch                           Off
98	BOOL	1	TX3 HPF Switch                           Off
99	BOOL	1	TX4 HPF Switch                           Off
100	BOOL	1	TX5 HPF Switch                           Off
101	BOOL	1	TX6 HPF Switch                           Off
102	BOOL	1	TX7 HPF Switch                           Off
103	BOOL	1	TX8 HPF Switch                           Off
104	BOOL	1	TX9 HPF Switch                           Off
105	BOOL	1	TX10 HPF Switch                          Off
106	BOOL	1	RX1 HPF Switch                           Off
107	BOOL	1	RX2 HPF Switch                           Off
108	BOOL	1	RX3 HPF Switch                           Off
109	BOOL	1	RX4 HPF Switch                           Off
110	BOOL	1	RX5 HPF Switch                           Off
